# time	cmd_angle	cmd_speed	odom_v	odom_w	R_odom	imu_yaw_rate	R_imu	imu_ax	imu_ay
1779640079.447	 +100.0	 +10.0	 +5.0000	 -0.0000	      +inf	 +0.0027	 +1830.284	 +0.0321	 -3.2575
1779640079.547	 +100.0	 +10.0	 +5.0000	 -0.0000	      +inf	 +0.0036	 +1396.921	 +0.0163	 -3.2579
1779640079.648	 +100.0	 +10.0	 +5.0000	 -0.0000	      +inf	 -0.0038	 -1301.798	 +0.0224	 -3.2181
1779640079.748	 +100.0	 +10.0	 +5.0000	 -0.0000	      +inf	 +0.0031	 +1637.438	 +0.0304	 -3.2663
1779640079.848	 +100.0	 +10.0	 +5.0000	 -0.0000	      +inf	 +0.0042	 +1195.244	 +0.0156	 -3.2505
1779640079.948	 +100.0	 +10.0	 +5.0000	 -0.0000	      +inf	 +0.0042	 +1198.881	 +0.0182	 -3.2617
1779640080.048	 +100.0	 +10.0	 +5.0000	 -0.0000	      +inf	 +0.0033	 +1536.698	 +0.0185	 -3.2544
1779640080.148	 +100.0	 +10.0	 +5.0000	 -0.0000	      +inf	 -0.0032	 -1577.663	 +0.0193	 -3.2216
1779640080.247	 +100.0	 +10.0	 +5.0000	 -0.0000	      +inf	 -0.0141	  -355.228	 +0.0142	 -3.1552
1779640080.348	 +100.0	 +10.0	 +5.0000	 -0.0000	      +inf	 -0.0022	 -2251.770	 +0.0097	 -3.2055
1779640080.448	 +100.0	 +10.0	 +5.0000	 -0.0000	      +inf	 -0.0052	  -961.332	 -0.0026	 -3.1795
1779640080.547	 +100.0	 +10.0	 +5.0000	 -0.0000	      +inf	 -0.0039	 -1278.402	 +0.0059	 -3.2037
1779640080.647	 +100.0	 +10.0	 +5.0000	 -0.0000	      +inf	 +0.0025	 +1967.115	 +0.0177	 -3.2347
1779640080.748	 +100.0	 +10.0	 +5.0000	 -0.0000	      +inf	 +0.0029	 +1735.039	 +0.0262	 -3.2468
