# time	cmd_angle	cmd_speed	odom_v(m/s)	odom_omega(rad/s)	R(m)
1779638014.199	   +0.0	  +0.0	 +0.0000	 -0.0000	      +inf
1779638014.299	   +0.0	  +0.0	 +0.0000	 -0.0000	      +inf
1779638014.399	   +0.0	  +0.0	 +0.0000	 -0.0000	      +inf
1779638014.499	   +0.0	  +0.0	 +0.0000	 -0.0000	      +inf
1779638014.599	   +0.0	  +0.0	 +0.0000	 -0.0000	      +inf
1779638014.699	   +0.0	  +0.0	 +0.0000	 -0.0000	      +inf
1779638014.799	   +0.0	  +0.0	 +0.0000	 -0.0000	      +inf
1779638014.899	   +0.0	  +0.0	 +0.0000	 -0.0000	      +inf
1779638014.999	   +0.0	  +0.0	 +0.0000	 -0.0000	      +inf
1779638015.099	   +0.0	  +0.0	 +0.0000	 -0.0000	      +inf
1779638015.200	   +0.0	  +0.0	 +0.0000	 -0.0000	      +inf
1779638015.299	   +0.0	  +0.0	 +0.0000	 -0.0000	      +inf
1779638015.399	   +0.0	  +0.0	 +0.0000	 -0.0000	      +inf
1779638015.499	   +0.0	  +0.0	 +0.0000	 -0.0000	      +inf
1779638015.599	   +0.0	  +0.0	 +0.0000	 -0.0000	      +inf
1779638015.699	   +0.0	  +0.0	 +0.0000	 -0.0000	      +inf
1779638015.799	   +0.0	  +0.0	 +0.0000	 -0.0000	      +inf
1779638015.899	   +0.0	  +0.0	 +0.0000	 -0.0000	      +inf
1779638015.999	   +0.0	  +0.0	 +0.0000	 -0.0000	      +inf
1779638016.099	   +0.0	  +0.0	 +0.0000	 -0.0000	      +inf
1779638016.200	   +0.0	  +0.0	 +0.0000	 -0.0000	      +inf
1779638016.299	   +0.0	  +0.0	 +0.0000	 -0.0000	      +inf
1779638016.399	   +0.0	  +0.0	 +0.0000	 -0.0000	      +inf
1779638016.499	   +0.0	  +0.0	 +0.0000	 -0.0000	      +inf
1779638016.599	   +0.0	  +0.0	 +0.0000	 -0.0000	      +inf
1779638016.699	   +0.0	  +0.0	 +0.0000	 -0.0000	      +inf
1779638016.799	   +0.0	  +0.0	 +0.0000	 -0.0000	      +inf
1779638016.899	   +0.0	  +0.0	 +0.0000	 -0.0000	      +inf
1779638016.999	   +0.0	  +0.0	 +0.0000	 -0.0000	      +inf
1779638017.099	   +0.0	  +0.0	 +0.0000	 -0.0000	      +inf
1779638017.199	   +0.0	  +0.0	 +0.0000	 -0.0000	      +inf
1779638017.299	   +0.0	  +0.0	 +0.0000	 -0.0000	      +inf
1779638017.399	   +0.0	  +0.0	 +0.0000	 -0.0000	      +inf
1779638017.499	   +0.0	  +0.0	 +0.0000	 -0.0000	      +inf
1779638017.599	   +0.0	  +0.0	 +0.0000	 -0.0000	      +inf
1779638017.699	   +0.0	  +0.0	 +0.0000	 -0.0000	      +inf
1779638017.799	   +0.0	  +0.0	 +0.0000	 -0.0000	      +inf
1779638017.899	   +0.0	  +0.0	 +0.0000	 -0.0000	      +inf
1779638017.999	  +20.0	  +0.0	 +0.0000	 -0.0000	      +inf
1779638018.099	  +20.0	  +0.0	 +0.0000	 +0.0000	      +inf
1779638018.199	  +20.0	  +0.0	 +0.0000	 +0.0000	      +inf
1779638018.299	  +20.0	  +0.0	 +0.0000	 +0.0000	      +inf
1779638018.399	  +20.0	  +0.0	 +0.0000	 +0.0000	      +inf
1779638018.499	  +20.0	  +0.0	 +0.0000	 +0.0000	      +inf
1779638018.599	  +20.0	  +0.0	 +0.0000	 +0.0000	      +inf
1779638018.699	  +20.0	  +0.0	 +0.0000	 +0.0000	      +inf
1779638018.799	  +20.0	  +0.0	 +0.0000	 +0.0000	      +inf
1779638018.899	  +20.0	  +0.0	 +0.0000	 +0.0000	      +inf
1779638018.999	  +20.0	  +0.0	 +0.0000	 +0.0000	      +inf
1779638019.099	  +20.0	  +0.0	 +0.0000	 +0.0000	      +inf
1779638019.199	  +20.0	  +0.0	 +0.0000	 +0.0000	      +inf
1779638019.299	  +20.0	  +0.0	 +0.0000	 +0.0000	      +inf
1779638019.399	  +20.0	  +0.0	 +0.0000	 +0.0000	      +inf
1779638019.499	  +20.0	  +0.0	 +0.0000	 +0.0000	      +inf
1779638019.599	  +20.0	  +0.0	 +0.0000	 +0.0000	      +inf
1779638019.699	  +20.0	  +0.0	 +0.0000	 +0.0000	      +inf
1779638019.799	  +20.0	  +0.0	 +0.0000	 +0.0000	      +inf
1779638019.899	  +20.0	  +0.0	 +0.0000	 +0.0000	      +inf
1779638019.999	  +20.0	  +0.0	 +0.0000	 +0.0000	      +inf
1779638020.099	  +20.0	  +0.0	 +0.0000	 +0.0000	      +inf
1779638020.199	  +20.0	  +0.0	 +0.0000	 +0.0000	      +inf
1779638023.830	  +20.0	  +0.0	 +0.0000	 +0.0000	      +inf
1779638023.899	  +20.0	  +0.0	 +0.0000	 +0.0000	      +inf
1779638023.999	  +20.0	  +0.0	 +0.0000	 +0.0000	      +inf
1779638024.099	  +20.0	  +0.0	 +0.0000	 +0.0000	      +inf
1779638024.199	  +20.0	  +0.0	 +0.0000	 +0.0000	      +inf
1779638024.299	  +20.0	  +0.0	 +0.0000	 +0.0000	      +inf
1779638024.399	  +20.0	  +0.0	 +0.0000	 +0.0000	      +inf
1779638024.499	  +20.0	  +0.0	 +0.0000	 +0.0000	      +inf
1779638024.599	  +20.0	  +0.0	 +0.0000	 +0.0000	      +inf
1779638024.699	  +20.0	  +0.0	 +0.0000	 +0.0000	      +inf
1779638024.799	  +20.0	  +0.0	 +0.0000	 +0.0000	      +inf
1779638024.899	  +20.0	  +0.0	 +0.0000	 +0.0000	      +inf
1779638024.999	  +20.0	  +0.0	 +0.0000	 +0.0000	      +inf
1779638025.099	  +20.0	  +0.0	 +0.0000	 +0.0000	      +inf
1779638025.199	  +20.0	  +0.0	 +0.0000	 +0.0000	      +inf
1779638025.299	  +20.0	  +0.0	 +0.0000	 +0.0000	      +inf
1779638025.399	  +20.0	  +0.0	 +0.0000	 +0.0000	      +inf
1779638025.499	  +20.0	  +0.0	 +0.0000	 +0.0000	      +inf
1779638025.599	  +20.0	  +0.0	 +0.0000	 +0.0000	      +inf
1779638025.699	  +20.0	  +0.0	 +0.0000	 +0.0000	      +inf
1779638025.799	  +20.0	  +0.0	 +0.0000	 +0.0000	      +inf
1779638025.899	  +20.0	  +0.0	 +0.0000	 +0.0000	      +inf
1779638025.999	  +20.0	  +0.0	 +0.0000	 +0.0000	      +inf
1779638026.099	  +20.0	  +0.0	 +0.0000	 +0.0000	      +inf
1779638026.199	  +20.0	  +0.0	 +0.0000	 +0.0000	      +inf
1779638026.299	  +20.0	  +0.0	 +0.0000	 +0.0000	      +inf
1779638026.399	  +20.0	  +0.0	 +0.0000	 +0.0000	      +inf
1779638026.499	  +20.0	  +0.0	 +0.0000	 +0.0000	      +inf
1779638026.599	  +20.0	  +0.0	 +0.0000	 +0.0000	      +inf
1779638026.699	  +20.0	  +0.0	 +0.0000	 +0.0000	      +inf
1779638026.799	  +20.0	  +0.0	 +0.0000	 +0.0000	      +inf
1779638026.899	  +20.0	  +0.0	 +0.0000	 +0.0000	      +inf
1779638026.999	  +20.0	  +0.0	 +0.0000	 +0.0000	      +inf
1779638027.099	  +20.0	  +0.0	 +0.0000	 +0.0000	      +inf
1779638027.199	  +20.0	  +0.0	 +0.0000	 +0.0000	      +inf
1779638027.299	  +20.0	  +0.0	 +0.0000	 +0.0000	      +inf
1779638027.399	  +20.0	  +0.0	 +0.0000	 +0.0000	      +inf
1779638027.499	  +20.0	  +0.0	 +0.0000	 +0.0000	      +inf
1779638027.599	  +20.0	  +0.0	 +0.0000	 +0.0000	      +inf
1779638027.699	  +20.0	  +0.0	 +0.0000	 +0.0000	      +inf
1779638027.799	  +20.0	  +0.0	 +0.0000	 +0.0000	      +inf
1779638027.899	  +20.0	  +0.0	 +0.0000	 +0.0000	      +inf
1779638027.999	  +20.0	  +0.0	 +0.0000	 +0.0000	      +inf
1779638028.099	  +20.0	  +0.0	 +0.0000	 +0.0000	      +inf
1779638028.199	  +20.0	  +0.0	 +0.0000	 +0.0000	      +inf
1779638028.299	  +20.0	  +0.0	 +0.0000	 +0.0000	      +inf
1779638028.399	  +20.0	  +1.0	 +0.0000	 +0.0000	      +inf
1779638028.499	  +20.0	  +1.0	 +0.0000	 +0.0000	      +inf
1779638028.599	  +20.0	  +1.0	 +0.2609	 +0.3211	    +0.812
1779638028.699	  +20.0	  +1.0	 +0.3971	 +0.4888	    +0.812
1779638028.799	  +20.0	  +1.0	 +0.4250	 +0.5231	    +0.812
1779638028.899	  +20.0	  +1.0	 +0.4557	 +0.5610	    +0.812
1779638028.999	  +20.0	  +1.0	 +0.4788	 +0.5894	    +0.812
1779638029.099	  +20.0	  +1.0	 +0.4861	 +0.5984	    +0.812
1779638029.199	  +20.0	  +1.0	 +0.4918	 +0.6054	    +0.812
1779638029.299	  +20.0	  +1.0	 +0.4952	 +0.6096	    +0.812
1779638029.399	  +20.0	  +1.0	 +0.4981	 +0.6132	    +0.812
1779638029.499	  +20.0	  +1.0	 +0.4990	 +0.6143	    +0.812
1779638029.599	  +20.0	  +1.0	 +0.4993	 +0.6147	    +0.812
1779638029.699	  +20.0	  +1.0	 +0.4997	 +0.6151	    +0.812
1779638029.799	  +20.0	  +1.0	 +0.4998	 +0.6153	    +0.812
1779638029.899	  +20.0	  +1.0	 +0.4999	 +0.6154	    +0.812
1779638029.999	  +20.0	  +1.0	 +0.4999	 +0.6154	    +0.812
1779638030.099	  +20.0	  +1.0	 +0.5000	 +0.6155	    +0.812
1779638030.199	  +20.0	  +1.0	 +0.5000	 +0.6155	    +0.812
1779638030.299	  +20.0	  +1.0	 +0.5000	 +0.6155	    +0.812
1779638030.399	  +20.0	  +1.0	 +0.5000	 +0.6155	    +0.812
1779638030.499	  +20.0	  +1.0	 +0.5000	 +0.6155	    +0.812
1779638030.599	  +20.0	  +1.0	 +0.5000	 +0.6155	    +0.812
1779638030.699	  +20.0	  +1.0	 +0.5000	 +0.6155	    +0.812
1779638030.799	  +20.0	  +1.0	 +0.5000	 +0.6155	    +0.812
1779638030.899	  +20.0	  +1.0	 +0.5000	 +0.6155	    +0.812
1779638030.999	  +20.0	  +1.0	 +0.5000	 +0.6155	    +0.812
1779638031.099	  +20.0	  +1.0	 +0.5000	 +0.6155	    +0.812
1779638031.199	  +20.0	  +1.0	 +0.5000	 +0.6155	    +0.812
1779638031.299	  +20.0	  +1.0	 +0.5000	 +0.6155	    +0.812
1779638031.399	  +20.0	  +1.0	 +0.5000	 +0.6155	    +0.812
1779638031.499	  +20.0	  +1.0	 +0.5000	 +0.6155	    +0.812
1779638031.599	  +20.0	  +1.0	 +0.5000	 +0.6155	    +0.812
1779638031.699	  +20.0	  +1.0	 +0.5000	 +0.6155	    +0.812
1779638031.799	  +20.0	  +1.0	 +0.5000	 +0.6155	    +0.812
1779638031.899	  +20.0	  +1.0	 +0.5000	 +0.6155	    +0.812
1779638031.999	  +20.0	  +1.0	 +0.5000	 +0.6155	    +0.812
1779638032.099	  +20.0	  +1.0	 +0.5000	 +0.6155	    +0.812
1779638032.199	  +20.0	  +1.0	 +0.5000	 +0.6155	    +0.812
