# time	cmd_angle	cmd_speed	odom_v(m/s)	odom_omega(rad/s)	R(m)
1779638638.508	   +0.0	  +0.0	 -3.4145	 -0.9279	    +3.680
1779638638.608	   +0.0	  +0.0	 -4.4805	 +1.4300	    -3.133
1779638638.708	   +0.0	  +0.0	 -4.8298	-13.8726	    +0.348
1779638638.808	   +0.0	  +0.0	 -4.9643	 -0.6046	    +8.211
1779638638.908	   +0.0	  +0.0	 -4.9817	 +0.2012	   -24.758
1779638639.008	   +0.0	  +0.0	 -4.9962	 +2.3048	    -2.168
1779638639.108	   +0.0	  +0.0	 -4.9990	 +9.0310	    -0.554
1779638639.208	   +0.0	  +0.0	 -4.9997	-17.7264	    +0.282
1779638639.308	   +0.0	  +0.0	 -4.9999	 -4.9839	    +1.003
1779638639.408	   +0.0	  +0.0	 -5.0000	 -2.4875	    +2.010
1779638639.508	   +0.0	  +0.0	 -5.0000	 -1.7849	    +2.801
1779638639.608	   +0.0	  +0.0	 -5.0000	 -1.2829	    +3.897
1779638639.708	   +0.0	  +0.0	 -5.0000	 -1.0035	    +4.983
1779638639.808	   +0.0	  +0.0	 -5.0000	 -0.7969	    +6.274
1779638639.908	   +0.0	  +0.0	 -5.0000	 -0.5611	    +8.911
1779638640.008	   +0.0	  +0.0	 -5.0000	 -0.4732	   +10.566
1779638640.108	   +0.0	  +0.0	 -5.0000	 -0.3678	   +13.595
1779638640.208	   +0.0	  +0.0	 -4.0500	 -0.2420	   +16.736
1779638640.308	   +0.0	  +0.0	 -0.5821	 -0.0884	    +6.587
1779638640.408	   +0.0	  +0.0	 +1.7038	 -4.9672	    -0.343
1779638640.508	   +0.0	  +0.0	 +3.0536	 +0.7837	    +3.896
1779638640.608	   +0.0	  +0.0	 +3.8507	 -2.0930	    -1.840
1779638640.708	   +0.0	  +0.0	 +4.3213	 +0.7238	    +5.970
1779638640.808	   +0.0	  +0.0	 +4.5993	+20.9924	    +0.219
1779638640.908	   +0.0	  +0.0	 +4.7870	 -1.3540	    -3.535
1779638641.008	   +0.0	  +0.0	 +4.9083	 +0.9034	    +5.433
