# time	cmd_angle	cmd_speed	odom_v	odom_w	R_odom	imu_yaw_rate	R_imu	imu_ax	imu_ay
1779639161.969	   +0.0	  +0.0	 +5.0000	 +0.0034	 +1456.907	 -0.0042	 -1180.509	 -0.0033	 +3.2572
1779639162.068	   +0.0	  +0.0	 +5.0000	 +0.0028	 +1786.553	 -0.0035	 -1440.190	 +0.0069	 +3.2488
1779639162.169	   +0.0	  +0.0	 +5.0000	 +0.0022	 +2282.854	 +0.0030	 +1643.131	 +0.0237	 +3.2284
1779639162.269	   +0.0	  +0.0	 +5.0000	 +0.0018	 +2799.736	 -0.0032	 -1581.587	 +0.0174	 +3.2606
1779639162.369	   +0.0	  +0.0	 +5.0000	 +0.0015	 +3434.275	 -0.0033	 -1534.074	 +0.0277	 +3.2616
1779639162.469	   +0.0	  +0.0	 +5.0000	 +0.0012	 +4205.631	 +0.0029	 +1697.328	 +0.0284	 +3.2222
1779639162.569	   +0.0	  +0.0	 +5.0000	 +0.0009	      +inf	 +0.0033	 +1513.425	 +0.0233	 +3.2159
1779639162.669	   +0.0	  +0.0	 +5.0000	 +0.0008	      +inf	 +0.0038	 +1324.421	 +0.0343	 +3.2172
1779639162.768	   +0.0	  +0.0	 +5.0000	 +0.0006	      +inf	 +0.0042	 +1203.178	 +0.0339	 +3.2335
1779639162.869	   +0.0	  +0.0	 +5.0000	 +0.0004	      +inf	 +0.6610	    +7.564	 +0.2619	 -0.2547
1779639162.968	   +0.0	  +0.0	 +5.0000	 +0.0004	      +inf	 +0.1050	   +47.622	 +0.3365	 +2.6179
1779639163.068	   +0.0	  +0.0	 +5.0000	 +0.0003	      +inf	 +0.0260	  +192.071	 +0.2976	 +3.0238
1779639163.168	   +0.0	  +0.0	 +5.0000	 +0.0002	      +inf	 +0.0085	  +586.316	 +0.2337	 +3.1330
1779639163.269	   +0.0	  +0.0	 +5.0000	 +0.0002	      +inf	 +0.0028	 +1804.733	 +0.1559	 +3.1832
1779639163.369	   +0.0	  +0.0	 +5.0000	 +0.0002	      +inf	 +0.0017	 +2872.798	 +0.0825	 +3.2088
1779639163.469	   +0.0	  +0.0	 +5.0000	 +0.0001	      +inf	 -0.0005	      +inf	 +0.0421	 +3.2358
1779639163.569	   +0.0	  +0.0	 +5.0000	 +0.0001	      +inf	 -0.0000	      +inf	 +0.0316	 +3.2372
1779639163.669	   +0.0	  +0.0	 +5.0000	 +0.0001	      +inf	 +0.0025	 +1998.122	 +0.0130	 +3.1556
1779639163.768	   +0.0	  +0.0	 +2.5600	 -3.4719	    -0.737	 +0.0026	  +985.133	-25.6052	 +0.6477
1779639163.869	   +0.0	  +0.0	 +0.8389	 +0.2787	    +3.010	 +0.0025	  +337.578	 -6.7110	 +0.0762
1779639163.969	   +0.0	  +0.0	 +0.5369	 +1.0983	    +0.489	 -0.0103	   -52.035	 -5.3828	 +0.0763
1779639164.069	   +0.0	  +0.0	 +0.6583	 -0.0041	  -158.948	 +0.0025	  +264.100	+24.1128	 +0.0606
1779639164.168	   +0.0	  +0.0	 +3.3179	 -3.6338	    -0.913	 +0.0044	  +755.459	 +8.4129	 -0.4060
1779639164.268	   +0.0	  +0.0	 +4.1955	 -0.2303	   -18.217	 +0.0045	  +930.330	 +4.4742	 -0.9791
1779639164.369	   +0.0	  +0.0	 +4.4135	 +0.4347	   +10.152	 +0.0001	      +inf	 +2.9271	 -1.3164
1779639164.468	   +0.0	  +0.0	 +4.6537	 +1.8301	    +2.543	 +0.0001	      +inf	 +1.7312	 -1.7110
1779639164.569	   +0.0	  +0.0	 +4.8160	 -0.3066	   -15.707	 -0.0006	      +inf	 +1.0182	 -1.5748
1779639164.669	   +0.0	  +0.0	 +4.8913	 +6.3706	    +0.768	 +0.0002	      +inf	 +0.5347	 -0.6557
1779639164.769	   +0.0	  +0.0	 +4.9480	 -1.3693	    -3.613	 -0.0002	      +inf	 +0.2648	 +0.2694
1779639164.868	   +0.0	  +0.0	 +4.9751	 +4.1652	    +1.194	 -0.0000	      +inf	 +0.1418	 +0.8820
1779639164.968	   +0.0	  +0.0	 +4.9853	 +0.6994	    +7.128	 -0.0005	      +inf	 +0.0767	 +1.3872
1779639165.069	   +0.0	  +0.0	 +4.9853	 +0.6994	    +7.128	 -0.0007	      +inf	 +0.0772	 +1.4632
1779639165.168	   +0.0	  +0.0	 +4.9954	 -2.6307	    -1.899	 +0.0000	      +inf	 +0.0396	 +2.0516
